
Starting training from epoch 1
------------------------------------------------------- [START 2025-11-05 16:50:37] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.47 47.74 40.57 38.35 | 0.000001   0.342    0.457    0.787    0.142    1.728     90.43  | 47.74   40.57   38.35  | 1 min 01 sec|
|   2   | 0.47 45.95 49.93 28.67 | 0.000001   0.310    0.361    0.534    0.127    1.333     90.90  | 47.74   40.57   38.35  | 2 min 03 sec|
|   3   | 0.47 26.79 50.00 20.74 | 0.000002   0.302    0.286    0.326    0.121    1.035     90.89  | 47.74   40.57   38.35  | 3 min 05 sec|
|   4   | 0.47 23.57 49.79 20.14 | 0.000002   0.293    0.220    0.196    0.119    0.829     90.90  | 47.74   40.57   38.35  | 4 min 07 sec|
|   5   | 0.44 67.02 23.79 64.12 | 0.000002   0.283    0.169    0.126    0.117    0.695     90.90  | 67.02   23.79   64.12  | 5 min 09 sec|
|   6   | 0.43 72.74 19.07 81.29 | 0.000003   0.272    0.136    0.091    0.115    0.615     90.90  | 72.74   19.07   81.29  | 6 min 11 sec|
|   7   | 0.44 54.52 34.21 56.99 | 0.000003   0.260    0.117    0.071    0.110    0.558     90.91  | 72.74   19.07   81.29  | 7 min 12 sec|
|   8   | 0.43 46.31 29.21 51.24 | 0.000003   0.245    0.097    0.061    0.104    0.507     90.92  | 72.74   19.07   81.29  | 8 min 14 sec|
|   9   | 0.42 73.81 24.79 71.11 | 0.000004   0.232    0.088    0.053    0.097    0.470     91.11  | 72.74   19.07   81.29  | 9 min 16 sec|
|  10   | 0.46 20.00 47.21 20.63 | 0.000004   0.217    0.078    0.045    0.092    0.431     91.16  | 72.74   19.07   81.29  |10 min 18 sec|
|  11   | 0.45 33.57 38.64 40.23 | 0.000004   0.205    0.071    0.042    0.087    0.404     91.54  | 72.74   19.07   81.29  |11 min 20 sec|
|  12   | 0.46 66.55 21.79 67.73 | 0.000005   0.193    0.064    0.039    0.083    0.380     91.92  | 72.74   19.07   81.29  |12 min 22 sec|
|  13   | 0.51 37.26 40.36 42.89 | 0.000005   0.181    0.059    0.035    0.079    0.354     92.54  | 72.74   19.07   81.29  |13 min 24 sec|
|  14   | 0.57 32.38 37.71 41.77 | 0.000005   0.168    0.057    0.033    0.076    0.335     92.75  | 72.74   19.07   81.29  |14 min 26 sec|
|  15   | 0.62 55.60 32.00 59.09 | 0.000006   0.156    0.052    0.031    0.073    0.313     93.46  | 72.74   19.07   81.29  |15 min 27 sec|
|  16   | 0.67 53.10 28.36 62.33 | 0.000006   0.146    0.050    0.031    0.070    0.297     93.94  | 72.74   19.07   81.29  |16 min 29 sec|
|  17   | 0.79 30.24 39.71 44.48 | 0.000006   0.136    0.047    0.026    0.068    0.277     94.22  | 72.74   19.07   81.29  |17 min 31 sec|
|  18   | 0.83 77.98 18.07 79.83 | 0.000007   0.128    0.043    0.027    0.066    0.264     94.49  | 77.98   18.07   79.83  |18 min 33 sec|
|  19   | 0.89 51.07 16.71 78.93 | 0.000007   0.121    0.044    0.028    0.064    0.256     94.77  | 51.07   16.71   78.93  |19 min 35 sec|
|  20   | 0.96 41.07 29.57 62.55 | 0.000007   0.117    0.040    0.024    0.064    0.244     94.86  | 51.07   16.71   78.93  |20 min 37 sec|
|  21   | 1.04 51.31 28.57 68.82 | 0.000008   0.111    0.039    0.024    0.063    0.237     95.28  | 51.07   16.71   78.93  |21 min 39 sec|
|  22   | 1.15 55.71 33.64 54.03 | 0.000008   0.107    0.040    0.023    0.063    0.232     95.56  | 51.07   16.71   78.93  |22 min 41 sec|
|  23   | 1.15 41.90 25.50 66.58 | 0.000008   0.102    0.036    0.020    0.062    0.221     95.66  | 51.07   16.71   78.93  |23 min 43 sec|
|  24   | 1.15 45.95 27.79 67.07 | 0.000009   0.098    0.035    0.021    0.062    0.216     95.93  | 51.07   16.71   78.93  |24 min 45 sec|
|  25   | 1.30 38.57 38.86 49.75 | 0.000009   0.097    0.035    0.020    0.062    0.214     95.94  | 51.07   16.71   78.93  |25 min 47 sec|
|  26   | 1.27 39.76 30.43 61.34 | 0.000009   0.093    0.033    0.018    0.062    0.205     96.06  | 51.07   16.71   78.93  |26 min 49 sec|
|  27   | 1.26 84.88 26.71 67.08 | 0.000010   0.089    0.033    0.018    0.062    0.202     96.30  | 51.07   16.71   78.93  |27 min 51 sec|
|  28   | 1.26 44.29 17.50 78.86 | 0.000010   0.090    0.033    0.018    0.062    0.202     96.15  | 51.07   16.71   78.93  |28 min 53 sec|
|  29   | 1.30 61.90 18.93 76.96 | 0.000010   0.083    0.030    0.017    0.061    0.192     96.48  | 51.07   16.71   78.93  |29 min 55 sec|
|  30   | 1.33 39.40 30.14 60.69 | 0.000011   0.084    0.032    0.020    0.061    0.197     96.49  | 51.07   16.71   78.93  |30 min 57 sec|
