
Starting training from epoch 1
------------------------------------------------------- [START 2025-11-05 16:16:33] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.54 68.57 18.14 68.00 | 0.000001   0.866    0.525    0.862    0.146    2.399     32.11  | 68.57   18.14   68.00  | 1 min 01 sec|
|   2   | 0.52 46.79 36.57 43.33 | 0.000001   0.802    0.443    0.679    0.141    2.065     38.60  | 68.57   18.14   68.00  | 2 min 03 sec|
|   3   | 0.44 45.71 32.00 48.86 | 0.000002   0.693    0.389    0.496    0.137    1.716     55.32  | 68.57   18.14   68.00  | 3 min 05 sec|
|   4   | 0.44 59.76 26.07 67.74 | 0.000002   0.570    0.331    0.331    0.135    1.368     71.91  | 68.57   18.14   68.00  | 4 min 07 sec|
|   5   | 0.50 71.79 19.50 80.09 | 0.000002   0.422    0.267    0.213    0.133    1.035     87.46  | 68.57   18.14   68.00  | 5 min 09 sec|
|   6   | 0.60 83.21  9.00 91.64 | 0.000003   0.349    0.205    0.149    0.131    0.834     90.33  | 83.21    9.00   91.64  | 6 min 11 sec|
|   7   | 0.65 72.74 18.14 83.93 | 0.000003   0.315    0.163    0.109    0.130    0.717     90.71  | 83.21    9.00   91.64  | 7 min 14 sec|
|   8   | 0.68 75.95 23.71 78.63 | 0.000003   0.303    0.131    0.086    0.128    0.647     90.83  | 83.21    9.00   91.64  | 8 min 16 sec|
|   9   | 0.71 69.40 17.79 68.30 | 0.000004   0.289    0.107    0.070    0.127    0.593     90.91  | 83.21    9.00   91.64  | 9 min 17 sec|
|  10   | 0.84 68.21 16.43 71.85 | 0.000004   0.278    0.093    0.060    0.126    0.557     90.84  | 83.21    9.00   91.64  |10 min 19 sec|
|  11   | 0.88 77.50 14.71 90.72 | 0.000004   0.264    0.079    0.052    0.124    0.519     91.03  | 83.21    9.00   91.64  |11 min 21 sec|
|  12   | 0.92 72.74 16.21 83.81 | 0.000005   0.249    0.073    0.049    0.123    0.493     91.04  | 83.21    9.00   91.64  |12 min 23 sec|
|  13   | 1.10 59.76 28.14 71.94 | 0.000005   0.235    0.067    0.043    0.120    0.465     91.28  | 83.21    9.00   91.64  |13 min 25 sec|
|  14   | 0.92 98.21  0.86 99.86 | 0.000005   0.209    0.060    0.041    0.117    0.427     91.69  | 98.21    0.86   99.86  |14 min 27 sec|
|  15   | 1.16 77.14 27.14 58.39 | 0.000006   0.184    0.055    0.037    0.114    0.389     93.07  | 98.21    0.86   99.86  |15 min 29 sec|
|  16   | 1.22 92.02  5.79 97.24 | 0.000006   0.164    0.047    0.034    0.110    0.356     93.97  | 98.21    0.86   99.86  |16 min 31 sec|
|  17   | 1.48 67.74 28.36 56.15 | 0.000006   0.142    0.045    0.031    0.107    0.325     94.68  | 98.21    0.86   99.86  |17 min 33 sec|
|  18   | 1.51 87.62 27.86 60.98 | 0.000007   0.133    0.042    0.030    0.105    0.309     95.11  | 98.21    0.86   99.86  |18 min 35 sec|
|  19   | 1.61 86.67 13.14 87.50 | 0.000007   0.121    0.036    0.028    0.103    0.288     95.51  | 98.21    0.86   99.86  |19 min 37 sec|
|  20   | 1.54 87.14  6.93 96.97 | 0.000007   0.108    0.036    0.028    0.101    0.273     95.93  | 98.21    0.86   99.86  |20 min 39 sec|
|  21   | 1.61 87.14  5.36 98.99 | 0.000008   0.097    0.035    0.026    0.096    0.254     96.22  | 98.21    0.86   99.86  |21 min 41 sec|
|  22   | 1.82 16.67 18.57 82.57 | 0.000008   0.091    0.030    0.023    0.094    0.239     96.36  | 98.21    0.86   99.86  |22 min 43 sec|
|  23   | 2.02 16.67  8.43 92.37 | 0.000008   0.082    0.028    0.022    0.091    0.223     96.69  | 98.21    0.86   99.86  |23 min 45 sec|
|  24   | 2.02 17.26 10.57 91.97 | 0.000009   0.080    0.029    0.020    0.089    0.219     96.99  | 98.21    0.86   99.86  |24 min 47 sec|
|  25   | 2.31 17.98 33.57 56.33 | 0.000009   0.073    0.026    0.021    0.086    0.208     97.21  | 98.21    0.86   99.86  |25 min 49 sec|
|  26   | 2.28 19.64 24.79 72.78 | 0.000009   0.069    0.026    0.018    0.084    0.196     97.35  | 98.21    0.86   99.86  |26 min 51 sec|
|  27   | 2.11 87.14 13.36 87.93 | 0.000010   0.062    0.025    0.017    0.081    0.185     97.49  | 98.21    0.86   99.86  |27 min 53 sec|
|  28   | 2.32 26.07  9.43 90.68 | 0.000010   0.058    0.024    0.018    0.080    0.180     97.69  | 98.21    0.86   99.86  |28 min 55 sec|
|  29   | 2.40 25.95 22.93 81.08 | 0.000010   0.056    0.021    0.017    0.079    0.172     97.79  | 98.21    0.86   99.86  |29 min 57 sec|
|  30   | 2.42 27.14 22.79 79.05 | 0.000011   0.051    0.021    0.015    0.076    0.163     97.98  | 98.21    0.86   99.86  |30 min 59 sec|
