
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-26 17:41:22] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.56 89.76  9.71 89.81 | 0.000001   0.413    0.000    0.000    0.140    0.553     87.19  | 89.76    9.71   89.81  | 0 min 55 sec|
|   2   | 0.48 41.19 35.64 50.99 | 0.000001   0.304    0.000    0.000    0.125    0.429     90.90  | 89.76    9.71   89.81  | 1 min 51 sec|
|   3   | 0.45 38.21 35.14 54.68 | 0.000002   0.288    0.000    0.000    0.120    0.408     90.91  | 89.76    9.71   89.81  | 2 min 46 sec|
|   4   | 0.43 66.55 18.71 76.35 | 0.000002   0.265    0.000    0.000    0.115    0.380     90.94  | 89.76    9.71   89.81  | 3 min 42 sec|
|   5   | 0.53 51.67 26.71 67.42 | 0.000002   0.234    0.000    0.000    0.107    0.342     91.05  | 89.76    9.71   89.81  | 4 min 37 sec|
|   6   | 0.76 36.07 40.71 45.74 | 0.000003   0.199    0.000    0.000    0.097    0.296     91.69  | 89.76    9.71   89.81  | 5 min 33 sec|
|   7   | 0.96 92.62 10.07 87.34 | 0.000003   0.173    0.000    0.000    0.086    0.260     92.81  | 89.76    9.71   89.81  | 6 min 28 sec|
|   8   | 1.13 56.43 18.93 75.25 | 0.000003   0.153    0.000    0.000    0.079    0.232     93.39  | 89.76    9.71   89.81  | 7 min 24 sec|
|   9   | 1.34 32.98 40.43 43.83 | 0.000004   0.137    0.000    0.000    0.074    0.211     93.94  | 89.76    9.71   89.81  | 8 min 20 sec|
|  10   | 1.43 36.31 38.71 48.27 | 0.000004   0.122    0.000    0.000    0.070    0.192     94.79  | 89.76    9.71   89.81  | 9 min 15 sec|
|  11   | 1.34 95.83  7.64 90.44 | 0.000004   0.108    0.000    0.000    0.067    0.175     95.33  | 95.83    7.64   90.44  |10 min 11 sec|
|  12   | 1.41 31.19 41.50 36.58 | 0.000005   0.096    0.000    0.000    0.066    0.162     95.97  | 95.83    7.64   90.44  |11 min 07 sec|
|  13   | 1.35 39.40 29.36 59.66 | 0.000005   0.085    0.000    0.000    0.065    0.149     96.30  | 95.83    7.64   90.44  |12 min 02 sec|
|  14   | 1.33 87.86 26.71 65.51 | 0.000005   0.077    0.000    0.000    0.064    0.140     96.78  | 95.83    7.64   90.44  |12 min 58 sec|
|  15   | 1.31 36.19 19.57 73.94 | 0.000006   0.070    0.000    0.000    0.063    0.132     97.07  | 95.83    7.64   90.44  |13 min 54 sec|
|  16   | 1.23 79.64  8.36 93.91 | 0.000006   0.062    0.000    0.000    0.062    0.124     97.52  | 95.83    7.64   90.44  |14 min 49 sec|
|  17   | 1.26 30.12 30.14 59.02 | 0.000006   0.056    0.000    0.000    0.062    0.117     97.79  | 95.83    7.64   90.44  |15 min 45 sec|
|  18   | 1.26 38.21 33.14 53.70 | 0.000007   0.051    0.000    0.000    0.061    0.112     98.03  | 95.83    7.64   90.44  |16 min 41 sec|
|  19   | 1.11 38.45 29.36 61.21 | 0.000007   0.047    0.000    0.000    0.061    0.108     98.09  | 95.83    7.64   90.44  |17 min 36 sec|
|  20   | 1.00 72.86 25.36 63.14 | 0.000007   0.043    0.000    0.000    0.061    0.104     98.41  | 95.83    7.64   90.44  |18 min 32 sec|
|  21   | 1.23 16.31 49.21 23.39 | 0.000008   0.039    0.000    0.000    0.061    0.100     98.47  | 95.83    7.64   90.44  |19 min 28 sec|
|  22   | 1.14 25.95 36.79 46.97 | 0.000008   0.038    0.000    0.000    0.061    0.098     98.64  | 95.83    7.64   90.44  |20 min 23 sec|
|  23   | 1.15 64.29 43.64 35.03 | 0.000008   0.035    0.000    0.000    0.060    0.095     98.75  | 95.83    7.64   90.44  |21 min 19 sec|
|  24   | 1.06 54.17 41.43 40.48 | 0.000009   0.033    0.000    0.000    0.059    0.092     98.75  | 95.83    7.64   90.44  |22 min 15 sec|
|  25   | 0.99 20.36 49.86 21.26 | 0.000009   0.031    0.000    0.000    0.058    0.089     98.84  | 95.83    7.64   90.44  |23 min 10 sec|
|  26   | 1.01 19.88 49.71 24.40 | 0.000009   0.029    0.000    0.000    0.058    0.087     98.90  | 95.83    7.64   90.44  |24 min 06 sec|
|  27   | 1.03 58.21 49.79 36.99 | 0.000010   0.027    0.000    0.000    0.058    0.085     99.03  | 95.83    7.64   90.44  |25 min 02 sec|
|  28   | 1.09 23.21 50.00 21.50 | 0.000010   0.026    0.000    0.000    0.058    0.083     99.10  | 95.83    7.64   90.44  |25 min 58 sec|
