
Starting training from epoch 1
------------------------------------------------------- [START 2025-11-07 15:28:01] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.49 65.12 32.21 55.72 | 0.000001   0.334    0.000    0.000    0.129    0.462     90.66  | 65.12   32.21   55.72  | 0 min 53 sec|
|   2   | 0.48 67.86 28.43 55.45 | 0.000001   0.291    0.000    0.000    0.109    0.400     90.91  | 67.86   28.43   55.45  | 1 min 47 sec|
|   3   | 0.50 41.31 50.00 30.18 | 0.000002   0.275    0.000    0.000    0.100    0.374     90.91  | 67.86   28.43   55.45  | 2 min 41 sec|
|   4   | 0.52 23.45 50.00 23.62 | 0.000002   0.258    0.000    0.000    0.092    0.350     90.91  | 67.86   28.43   55.45  | 3 min 35 sec|
|   5   | 0.59 36.55 45.29 37.97 | 0.000002   0.233    0.000    0.000    0.083    0.316     91.03  | 67.86   28.43   55.45  | 4 min 28 sec|
|   6   | 0.53 29.29 48.64 30.30 | 0.000003   0.207    0.000    0.000    0.072    0.279     91.79  | 67.86   28.43   55.45  | 5 min 22 sec|
|   7   | 0.56 19.52 49.79  8.59 | 0.000003   0.184    0.000    0.000    0.066    0.250     92.66  | 67.86   28.43   55.45  | 6 min 16 sec|
|   8   | 0.53 52.38 39.71 39.59 | 0.000003   0.170    0.000    0.000    0.063    0.234     93.17  | 67.86   28.43   55.45  | 7 min 10 sec|
|   9   | 0.50 55.12 43.50 40.10 | 0.000004   0.161    0.000    0.000    0.063    0.224     93.66  | 67.86   28.43   55.45  | 8 min 04 sec|
|  10   | 0.56 30.00 49.79 25.35 | 0.000004   0.154    0.000    0.000    0.062    0.216     93.79  | 67.86   28.43   55.45  | 8 min 58 sec|
|  11   | 0.55 54.29 41.07 39.68 | 0.000004   0.144    0.000    0.000    0.062    0.206     94.08  | 67.86   28.43   55.45  | 9 min 52 sec|
|  12   | 0.55 46.79 41.64 36.21 | 0.000005   0.142    0.000    0.000    0.061    0.203     94.09  | 67.86   28.43   55.45  |10 min 45 sec|
|  13   | 0.62 65.12 32.36 49.55 | 0.000005   0.136    0.000    0.000    0.061    0.197     94.53  | 67.86   28.43   55.45  |11 min 39 sec|
|  14   | 0.55 23.57 48.71 25.00 | 0.000005   0.132    0.000    0.000    0.061    0.193     94.41  | 67.86   28.43   55.45  |12 min 33 sec|
|  15   | 0.71 32.86 50.00 21.08 | 0.000006   0.131    0.000    0.000    0.061    0.191     94.62  | 67.86   28.43   55.45  |13 min 27 sec|
|  16   | 0.62 49.40 41.57 44.86 | 0.000006   0.127    0.000    0.000    0.061    0.188     94.70  | 67.86   28.43   55.45  |14 min 21 sec|
|  17   | 0.56 45.00 42.79 35.33 | 0.000006   0.123    0.000    0.000    0.060    0.183     94.96  | 67.86   28.43   55.45  |15 min 15 sec|
|  18   | 0.66 29.17 47.71 24.17 | 0.000007   0.125    0.000    0.000    0.060    0.186     94.48  | 67.86   28.43   55.45  |16 min 08 sec|
|  19   | 0.61 22.26 49.79 13.11 | 0.000007   0.121    0.000    0.000    0.060    0.181     94.89  | 67.86   28.43   55.45  |17 min 02 sec|
|  20   | 0.60 67.14 32.57 56.55 | 0.000007   0.119    0.000    0.000    0.060    0.178     95.13  | 67.86   28.43   55.45  |17 min 56 sec|
|  21   | 0.55 47.62 35.57 49.96 | 0.000008   0.115    0.000    0.000    0.059    0.174     95.03  | 67.86   28.43   55.45  |18 min 50 sec|
|  22   | 0.67 47.86 38.86 41.53 | 0.000008   0.119    0.000    0.000    0.059    0.177     94.95  | 67.86   28.43   55.45  |19 min 44 sec|
|  23   | 0.77 22.98 49.86 20.96 | 0.000008   0.113    0.000    0.000    0.059    0.172     95.26  | 67.86   28.43   55.45  |20 min 38 sec|
|  24   | 0.63 44.17 44.14 37.17 | 0.000009   0.113    0.000    0.000    0.059    0.171     95.21  | 67.86   28.43   55.45  |21 min 32 sec|
|  25   | 0.74 45.60 38.50 40.12 | 0.000009   0.110    0.000    0.000    0.058    0.169     95.18  | 67.86   28.43   55.45  |22 min 26 sec|
|  26   | 0.66 48.21 41.64 42.54 | 0.000009   0.110    0.000    0.000    0.058    0.169     95.27  | 67.86   28.43   55.45  |23 min 20 sec|
|  27   | 0.67 33.93 49.57 24.99 | 0.000010   0.107    0.000    0.000    0.058    0.165     95.43  | 67.86   28.43   55.45  |24 min 13 sec|
|  28   | 0.69 32.14 43.14 32.00 | 0.000010   0.109    0.000    0.000    0.058    0.167     95.33  | 67.86   28.43   55.45  |25 min 07 sec|
|  29   | 0.76 32.02 49.43 25.89 | 0.000010   0.103    0.000    0.000    0.058    0.161     95.53  | 67.86   28.43   55.45  |26 min 01 sec|
|  30   | 0.76 55.00 37.64 51.45 | 0.000011   0.106    0.000    0.000    0.058    0.163     95.59  | 67.86   28.43   55.45  |26 min 55 sec|
