
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-25 17:56:39] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.43 77.62 19.43 77.62 | 0.000001   0.355    0.000    0.000    0.129    0.484     89.09  | 77.62   19.43   77.62  | 4 min 39 sec|
|   2   | 0.45 41.07 41.50 35.79 | 0.000001   0.293    0.000    0.000    0.108    0.401     90.89  | 77.62   19.43   77.62  | 5 min 33 sec|
|   3   | 0.44 40.71 39.71 51.75 | 0.000002   0.265    0.000    0.000    0.100    0.365     90.91  | 77.62   19.43   77.62  | 6 min 27 sec|
|   4   | 0.44 42.86 32.64 59.77 | 0.000002   0.235    0.000    0.000    0.094    0.329     91.01  | 77.62   19.43   77.62  | 7 min 22 sec|
|   5   | 0.45 47.86 35.14 58.97 | 0.000002   0.207    0.000    0.000    0.086    0.293     91.62  | 77.62   19.43   77.62  | 8 min 16 sec|
|   6   | 0.50 61.79 28.79 69.42 | 0.000003   0.174    0.000    0.000    0.078    0.252     92.83  | 77.62   19.43   77.62  | 9 min 11 sec|
|   7   | 0.51 44.88 34.21 59.50 | 0.000003   0.146    0.000    0.000    0.072    0.218     93.87  | 77.62   19.43   77.62  |10 min 05 sec|
|   8   | 0.49 43.57 34.50 61.17 | 0.000003   0.124    0.000    0.000    0.068    0.192     94.81  | 77.62   19.43   77.62  |11 min 00 sec|
|   9   | 0.43 61.90 20.07 75.85 | 0.000004   0.106    0.000    0.000    0.065    0.171     95.49  | 77.62   19.43   77.62  |11 min 54 sec|
|  10   | 0.45 43.93 36.57 54.28 | 0.000004   0.092    0.000    0.000    0.064    0.155     96.06  | 77.62   19.43   77.62  |12 min 48 sec|
|  11   | 0.42 40.00 35.29 49.85 | 0.000004   0.081    0.000    0.000    0.062    0.143     96.51  | 77.62   19.43   77.62  |13 min 43 sec|
|  12   | 0.42 51.19 26.86 66.75 | 0.000005   0.073    0.000    0.000    0.062    0.134     96.99  | 77.62   19.43   77.62  |14 min 37 sec|
|  13   | 0.43 41.43 35.36 58.13 | 0.000005   0.067    0.000    0.000    0.061    0.128     97.21  | 77.62   19.43   77.62  |15 min 32 sec|
|  14   | 0.41 79.52 17.79 78.75 | 0.000005   0.062    0.000    0.000    0.061    0.123     97.44  | 79.52   17.79   78.75  |16 min 27 sec|
|  15   | 0.45 35.95 36.57 51.89 | 0.000006   0.056    0.000    0.000    0.061    0.117     97.62  | 79.52   17.79   78.75  |17 min 21 sec|
|  16   | 0.48 35.00 37.57 33.64 | 0.000006   0.051    0.000    0.000    0.061    0.112     97.87  | 79.52   17.79   78.75  |18 min 16 sec|
|  17   | 0.47 33.45 38.29 36.34 | 0.000006   0.048    0.000    0.000    0.061    0.109     98.09  | 79.52   17.79   78.75  |19 min 10 sec|
|  18   | 0.49 35.36 37.07 35.96 | 0.000007   0.045    0.000    0.000    0.061    0.105     98.18  | 79.52   17.79   78.75  |20 min 05 sec|
|  19   | 0.53 53.45 26.93 68.44 | 0.000007   0.042    0.000    0.000    0.061    0.103     98.33  | 79.52   17.79   78.75  |20 min 59 sec|
|  20   | 0.55 31.90 37.93 47.39 | 0.000007   0.039    0.000    0.000    0.061    0.100     98.44  | 79.52   17.79   78.75  |21 min 54 sec|
|  21   | 0.45 34.29 37.43 46.26 | 0.000008   0.037    0.000    0.000    0.060    0.097     98.57  | 79.52   17.79   78.75  |22 min 48 sec|
|  22   | 0.66 32.98 38.36 44.94 | 0.000008   0.034    0.000    0.000    0.060    0.094     98.67  | 79.52   17.79   78.75  |23 min 43 sec|
|  23   | 0.58 29.17 40.50 41.47 | 0.000008   0.033    0.000    0.000    0.059    0.092     98.76  | 79.52   17.79   78.75  |24 min 37 sec|
|  24   | 0.87 65.60 26.00 65.19 | 0.000009   0.031    0.000    0.000    0.058    0.089     98.80  | 79.52   17.79   78.75  |25 min 32 sec|
|  25   | 0.85 55.24 31.21 58.75 | 0.000009   0.030    0.000    0.000    0.058    0.088     98.87  | 79.52   17.79   78.75  |26 min 26 sec|
|  26   | 1.11 43.69 42.21 47.08 | 0.000009   0.028    0.000    0.000    0.058    0.086     98.95  | 79.52   17.79   78.75  |27 min 21 sec|
|  27   | 1.10 65.24 27.29 63.80 | 0.000010   0.026    0.000    0.000    0.058    0.084     98.94  | 79.52   17.79   78.75  |28 min 15 sec|
|  28   | 1.34 52.02 36.64 50.80 | 0.000010   0.024    0.000    0.000    0.058    0.082     99.07  | 79.52   17.79   78.75  |29 min 10 sec|
|  29   | 1.69 31.07 43.00 29.97 | 0.000010   0.023    0.000    0.000    0.057    0.080     99.11  | 79.52   17.79   78.75  |30 min 05 sec|
|  30   | 2.15 28.10 42.79 25.06 | 0.000011   0.022    0.000    0.000    0.057    0.079     99.19  | 79.52   17.79   78.75  |30 min 59 sec|
