
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-27 15:12:04] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.60 25.83 49.86 22.72 | 0.000001   0.387    0.535    0.905    0.141    1.968     88.14  | 25.83   49.86   22.72  | 1 min 02 sec|
|   2   | 0.52 32.86 40.64 35.63 | 0.000001   0.370    0.419    0.734    0.127    1.650     88.96  | 32.86   40.64   35.63  | 2 min 04 sec|
|   3   | 0.47 60.48 31.43 62.15 | 0.000002   0.357    0.339    0.581    0.120    1.397     89.46  | 60.48   31.43   62.15  | 3 min 07 sec|
|   4   | 0.44 68.69 20.79 65.85 | 0.000002   0.354    0.269    0.418    0.117    1.158     90.14  | 68.69   20.79   65.85  | 4 min 09 sec|
|   5   | 0.41 69.29 18.79 73.89 | 0.000002   0.344    0.216    0.284    0.116    0.961     90.10  | 69.29   18.79   73.89  | 5 min 11 sec|
|   6   | 0.46 31.43 38.64 35.19 | 0.000003   0.339    0.172    0.196    0.116    0.823     90.35  | 69.29   18.79   73.89  | 6 min 14 sec|
|   7   | 0.47 33.45 36.43 40.07 | 0.000003   0.331    0.136    0.142    0.114    0.723     90.35  | 69.29   18.79   73.89  | 7 min 16 sec|
|   8   | 0.46 47.62 40.14 41.51 | 0.000003   0.321    0.114    0.107    0.113    0.655     90.29  | 69.29   18.79   73.89  | 8 min 18 sec|
|   9   | 0.47 77.62 19.57 72.05 | 0.000004   0.303    0.097    0.088    0.111    0.598     90.47  | 69.29   18.79   73.89  | 9 min 21 sec|
|  10   | 0.37 91.31  8.64 91.70 | 0.000004   0.282    0.085    0.075    0.107    0.550     90.42  | 91.31    8.64   91.70  |10 min 23 sec|
|  11   | 0.52 22.38 40.79 23.69 | 0.000004   0.257    0.074    0.062    0.102    0.495     90.55  | 91.31    8.64   91.70  |11 min 26 sec|
|  12   | 0.47 53.69 29.64 53.47 | 0.000005   0.221    0.064    0.055    0.093    0.433     91.12  | 91.31    8.64   91.70  |12 min 28 sec|
