
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-27 14:08:02] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.47 35.95 36.71 45.36 | 0.000001   0.786    0.555    0.910    0.145    2.395     46.51  | 35.95   36.71   45.36  | 1 min 01 sec|
|   2   | 0.44 88.10  8.14 93.36 | 0.000001   0.777    0.467    0.615    0.134    1.994     48.37  | 88.10    8.14   93.36  | 2 min 02 sec|
|   3   | 0.44 89.64  9.36 92.44 | 0.000002   0.736    0.390    0.427    0.126    1.680     53.66  | 88.10    8.14   93.36  | 3 min 03 sec|
|   4   | 0.41 76.90 15.71 81.17 | 0.000002   0.657    0.330    0.299    0.124    1.409     62.25  | 88.10    8.14   93.36  | 4 min 04 sec|
|   5   | 0.44 56.90 26.36 69.37 | 0.000002   0.560    0.275    0.218    0.123    1.176     73.85  | 88.10    8.14   93.36  | 5 min 05 sec|
|   6   | 0.40 86.43  6.93 96.12 | 0.000003   0.465    0.228    0.158    0.121    0.973     83.55  | 86.43    6.93   96.12  | 6 min 06 sec|
|   7   | 0.39 91.43  8.50 90.21 | 0.000003   0.407    0.190    0.121    0.119    0.837     87.75  | 86.43    6.93   96.12  | 7 min 07 sec|
|   8   | 0.40 56.55 25.50 62.56 | 0.000003   0.376    0.158    0.095    0.119    0.747     89.57  | 86.43    6.93   96.12  | 8 min 08 sec|
|   9   | 0.40 77.62 16.07 76.07 | 0.000004   0.358    0.140    0.075    0.117    0.690     90.00  | 86.43    6.93   96.12  | 9 min 09 sec|
|  10   | 0.41 45.48 27.14 51.72 | 0.000004   0.346    0.120    0.063    0.116    0.646     90.35  | 86.43    6.93   96.12  |10 min 11 sec|
|  11   | 0.42 69.40 23.00 72.72 | 0.000004   0.340    0.107    0.057    0.116    0.621     90.46  | 86.43    6.93   96.12  |11 min 12 sec|
|  12   | 0.45 75.83 15.93 74.17 | 0.000005   0.326    0.092    0.050    0.116    0.583     90.53  | 86.43    6.93   96.12  |12 min 13 sec|
|  13   | 0.42 65.60 27.14 71.36 | 0.000005   0.312    0.081    0.043    0.115    0.551     90.62  | 86.43    6.93   96.12  |13 min 14 sec|
