
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-27 14:43:48] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.66 31.43 35.07 34.22 | 0.000001   2.281    0.558    0.830    0.142    3.811     12.72  | 31.43   35.07   34.22  | 1 min 02 sec|
|   2   | 0.44 84.76  8.50 94.69 | 0.000001   1.823    0.454    0.626    0.128    3.031     16.33  | 84.76    8.50   94.69  | 2 min 04 sec|
|   3   | 0.40 75.71 18.93 74.58 | 0.000002   1.354    0.360    0.440    0.121    2.275     26.83  | 84.76    8.50   94.69  | 3 min 05 sec|
|   4   | 0.46 68.81 18.50 71.37 | 0.000002   0.875    0.292    0.310    0.119    1.595     51.57  | 84.76    8.50   94.69  | 4 min 07 sec|
|   5   | 0.54 55.71 23.71 65.62 | 0.000002   0.565    0.235    0.220    0.118    1.138     72.93  | 84.76    8.50   94.69  | 5 min 09 sec|
|   6   | 0.72 43.57 30.71 49.40 | 0.000003   0.426    0.197    0.159    0.117    0.899     82.87  | 84.76    8.50   94.69  | 6 min 11 sec|
|   7   | 0.71 69.52 17.93 69.63 | 0.000003   0.371    0.158    0.117    0.117    0.763     87.56  | 84.76    8.50   94.69  | 7 min 13 sec|
|   8   | 0.89 22.14 49.00 15.17 | 0.000003   0.354    0.132    0.092    0.117    0.695     88.58  | 84.76    8.50   94.69  | 8 min 15 sec|
|   9   | 0.75 70.95 15.71 73.00 | 0.000004   0.347    0.111    0.076    0.117    0.650     89.33  | 84.76    8.50   94.69  | 9 min 17 sec|
|  10   | 0.91 29.40 38.57 30.52 | 0.000004   0.327    0.093    0.065    0.116    0.601     89.84  | 84.76    8.50   94.69  |10 min 19 sec|
|  11   | 0.93 43.81 27.57 45.70 | 0.000004   0.317    0.085    0.057    0.115    0.575     90.56  | 84.76    8.50   94.69  |11 min 21 sec|
|  12   | 0.87 41.07 27.14 55.17 | 0.000005   0.312    0.075    0.050    0.115    0.552     90.19  | 84.76    8.50   94.69  |12 min 23 sec|
|  13   | 1.01 24.76 38.57 25.63 | 0.000005   0.287    0.068    0.044    0.114    0.512     90.53  | 84.76    8.50   94.69  |13 min 25 sec|
|  14   | 1.12 29.76 38.57 31.36 | 0.000005   0.259    0.059    0.041    0.109    0.468     90.46  | 84.76    8.50   94.69  |14 min 27 sec|
|  15   | 1.11 77.02 20.43 67.24 | 0.000006   0.227    0.055    0.038    0.102    0.421     90.91  | 84.76    8.50   94.69  |15 min 29 sec|
|  16   | 1.26 55.24 27.86 49.79 | 0.000006   0.203    0.050    0.037    0.097    0.387     91.55  | 84.76    8.50   94.69  |16 min 31 sec|
|  17   | 1.44 43.69 35.14 43.14 | 0.000006   0.183    0.045    0.034    0.092    0.355     92.34  | 84.76    8.50   94.69  |17 min 33 sec|
|  18   | 1.39 36.43 35.14 35.17 | 0.000007   0.154    0.044    0.032    0.087    0.318     93.49  | 84.76    8.50   94.69  |18 min 35 sec|
|  19   | 1.45 40.24 26.79 54.37 | 0.000007   0.137    0.036    0.031    0.084    0.289     94.00  | 84.76    8.50   94.69  |19 min 37 sec|
|  20   | 1.26 54.88 14.36 82.98 | 0.000007   0.124    0.035    0.027    0.080    0.266     94.58  | 84.76    8.50   94.69  |20 min 39 sec|
|  21   | 1.60 76.90 46.57 21.33 | 0.000008   0.113    0.034    0.027    0.077    0.251     95.00  | 84.76    8.50   94.69  |21 min 41 sec|
|  22   | 1.57 79.88 46.79 27.76 | 0.000008   0.098    0.030    0.027    0.074    0.230     95.62  | 84.76    8.50   94.69  |22 min 43 sec|
|  23   | 1.57 87.62 27.93 55.29 | 0.000008   0.088    0.028    0.023    0.071    0.211     96.27  | 84.76    8.50   94.69  |23 min 45 sec|
|  24   | 1.69 83.33 39.43 32.62 | 0.000009   0.080    0.026    0.022    0.069    0.198     96.63  | 84.76    8.50   94.69  |24 min 47 sec|
|  25   | 1.64 82.98 35.50 45.43 | 0.000009   0.073    0.024    0.022    0.067    0.186     96.91  | 84.76    8.50   94.69  |25 min 49 sec|
|  26   | 1.61 85.83 33.21 50.34 | 0.000009   0.067    0.024    0.020    0.066    0.176     97.29  | 84.76    8.50   94.69  |26 min 51 sec|
|  27   | 1.76 82.98 40.29 25.84 | 0.000010   0.061    0.022    0.018    0.065    0.166     97.42  | 84.76    8.50   94.69  |27 min 53 sec|
