
Starting training from epoch 1
------------------------------------------------------- [START 2025-11-07 14:50:27] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.51 55.00 32.21 51.31 | 0.000001   0.333    0.000    0.000    0.129    0.463     90.41  | 55.00   32.21   51.31  | 0 min 53 sec|
|   2   | 0.48 47.26 40.00 42.79 | 0.000001   0.296    0.000    0.000    0.113    0.409     90.91  | 55.00   32.21   51.31  | 1 min 47 sec|
|   3   | 0.47 37.86 40.00 38.43 | 0.000002   0.275    0.000    0.000    0.105    0.380     90.90  | 55.00   32.21   51.31  | 2 min 41 sec|
|   4   | 0.46 25.95 46.00 27.57 | 0.000002   0.249    0.000    0.000    0.095    0.344     90.92  | 55.00   32.21   51.31  | 3 min 34 sec|
|   5   | 0.45 71.67 18.14 74.09 | 0.000002   0.227    0.000    0.000    0.086    0.314     91.13  | 71.67   18.14   74.09  | 4 min 28 sec|
|   6   | 0.51 47.98 34.71 42.48 | 0.000003   0.209    0.000    0.000    0.080    0.289     91.62  | 71.67   18.14   74.09  | 5 min 22 sec|
|   7   | 0.54 69.05 25.71 60.82 | 0.000003   0.190    0.000    0.000    0.074    0.265     92.04  | 71.67   18.14   74.09  | 6 min 15 sec|
|   8   | 0.61 68.81 30.86 55.83 | 0.000003   0.179    0.000    0.000    0.070    0.248     92.44  | 71.67   18.14   74.09  | 7 min 09 sec|
|   9   | 0.75 32.62 44.93 25.73 | 0.000004   0.172    0.000    0.000    0.066    0.238     92.68  | 71.67   18.14   74.09  | 8 min 03 sec|
|  10   | 0.79 20.60 50.00  8.89 | 0.000004   0.162    0.000    0.000    0.064    0.227     92.99  | 71.67   18.14   74.09  | 8 min 57 sec|
|  11   | 0.91 10.48 50.00  6.31 | 0.000004   0.156    0.000    0.000    0.063    0.219     93.28  | 71.67   18.14   74.09  | 9 min 50 sec|
|  12   | 0.86 49.64 49.07 33.44 | 0.000005   0.151    0.000    0.000    0.063    0.213     93.29  | 71.67   18.14   74.09  |10 min 44 sec|
|  13   | 0.86 54.88 38.14 46.38 | 0.000005   0.142    0.000    0.000    0.062    0.205     93.91  | 71.67   18.14   74.09  |11 min 38 sec|
|  14   | 0.92 55.36 45.86 39.35 | 0.000005   0.142    0.000    0.000    0.062    0.204     93.89  | 71.67   18.14   74.09  |12 min 32 sec|
|  15   | 1.02 25.12 46.79 27.81 | 0.000006   0.136    0.000    0.000    0.061    0.197     94.14  | 71.67   18.14   74.09  |13 min 25 sec|
|  16   | 0.94 40.48 38.57 47.49 | 0.000006   0.135    0.000    0.000    0.061    0.196     94.12  | 71.67   18.14   74.09  |14 min 19 sec|
|  17   | 1.05 60.00 32.14 49.26 | 0.000006   0.128    0.000    0.000    0.061    0.189     94.54  | 71.67   18.14   74.09  |15 min 13 sec|
|  18   | 1.13 34.29 43.14 37.12 | 0.000007   0.128    0.000    0.000    0.061    0.189     94.55  | 71.67   18.14   74.09  |16 min 07 sec|
|  19   | 1.08 66.79 27.79 57.27 | 0.000007   0.124    0.000    0.000    0.061    0.185     94.48  | 71.67   18.14   74.09  |17 min 01 sec|
|  20   | 1.09  7.50 50.00  4.17 | 0.000007   0.122    0.000    0.000    0.061    0.183     94.79  | 71.67   18.14   74.09  |17 min 54 sec|
|  21   | 1.11 59.29 35.29 54.47 | 0.000008   0.120    0.000    0.000    0.061    0.180     94.79  | 71.67   18.14   74.09  |18 min 48 sec|
|  22   | 1.24 33.33 43.36 37.56 | 0.000008   0.117    0.000    0.000    0.060    0.177     95.01  | 71.67   18.14   74.09  |19 min 42 sec|
|  23   | 1.08 69.76 24.29 66.30 | 0.000008   0.114    0.000    0.000    0.059    0.174     95.12  | 71.67   18.14   74.09  |20 min 36 sec|
|  24   | 1.25 66.79 37.14 40.62 | 0.000009   0.117    0.000    0.000    0.059    0.176     95.09  | 71.67   18.14   74.09  |21 min 30 sec|
|  25   | 1.13 68.57 35.50 53.86 | 0.000009   0.112    0.000    0.000    0.059    0.171     95.21  | 71.67   18.14   74.09  |22 min 24 sec|
|  26   | 1.21 50.24 33.93 43.49 | 0.000009   0.108    0.000    0.000    0.059    0.167     95.27  | 71.67   18.14   74.09  |23 min 17 sec|
|  27   | 1.37 23.57 37.00 47.23 | 0.000010   0.106    0.000    0.000    0.058    0.165     95.49  | 71.67   18.14   74.09  |24 min 11 sec|
|  28   | 1.24 22.38 46.86 28.03 | 0.000010   0.105    0.000    0.000    0.058    0.163     95.55  | 71.67   18.14   74.09  |25 min 05 sec|
|  29   | 1.23 52.38 46.93 28.61 | 0.000010   0.105    0.000    0.000    0.058    0.163     95.43  | 71.67   18.14   74.09  |25 min 59 sec|
|  30   | 0.99 35.60 39.07 44.30 | 0.000011   0.103    0.000    0.000    0.058    0.161     95.47  | 71.67   18.14   74.09  |26 min 53 sec|
