
Starting training from epoch 1
------------------------------------------------------- [START 2025-11-09 20:43:21] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 1.61 16.07 49.93  7.95 | 0.000001   1.706    0.549    0.492    0.141    2.888     11.80  | 16.07   49.93    7.95  | 1 min 03 sec|
|   2   | 1.50 10.71 50.00  8.71 | 0.000001   1.503    0.452    0.361    0.126    2.442     14.44  | 16.07   49.93    7.95  | 2 min 04 sec|
|   3   | 1.34 53.21 31.57 47.76 | 0.000001   1.303    0.386    0.282    0.118    2.089     19.38  | 53.21   31.57   47.76  | 3 min 06 sec|
|   4   | 1.19 72.98 26.71 63.07 | 0.000001   1.110    0.344    0.227    0.116    1.797     26.82  | 72.98   26.71   63.07  | 4 min 08 sec|
|   5   | 1.06  7.98 49.93  5.95 | 0.000001   0.885    0.311    0.187    0.113    1.497     42.36  | 72.98   26.71   63.07  | 5 min 09 sec|
|   6   | 0.94  8.45 50.00  6.87 | 0.000001   0.728    0.279    0.157    0.112    1.277     56.52  | 72.98   26.71   63.07  | 6 min 09 sec|
|   7   | 0.81  9.29 50.00  9.26 | 0.000001   0.587    0.256    0.133    0.111    1.088     69.17  | 72.98   26.71   63.07  | 7 min 10 sec|
|   8   | 0.72  8.69 50.00  8.60 | 0.000001   0.450    0.232    0.114    0.110    0.906     81.27  | 72.98   26.71   63.07  | 8 min 11 sec|
|   9   | 0.60 54.40 37.57 44.45 | 0.000001   0.393    0.211    0.100    0.109    0.812     85.51  | 72.98   26.71   63.07  | 9 min 12 sec|
|  10   | 0.53 53.21 39.50 40.68 | 0.000001   0.357    0.194    0.086    0.108    0.745     87.57  | 72.98   26.71   63.07  |10 min 13 sec|
|  11   | 0.45 75.36 16.71 77.11 | 0.000001   0.323    0.178    0.078    0.107    0.686     89.55  | 75.36   16.71   77.11  |11 min 15 sec|
|  12   | 0.48 44.29 42.86 35.22 | 0.000001   0.315    0.163    0.068    0.106    0.653     89.90  | 75.36   16.71   77.11  |12 min 16 sec|
|  13   | 0.43 54.17 38.57 49.39 | 0.000001   0.311    0.151    0.063    0.106    0.630     90.16  | 75.36   16.71   77.11  |13 min 17 sec|
|  14   | 0.47 34.40 38.86 38.26 | 0.000001   0.299    0.141    0.056    0.105    0.601     90.32  | 75.36   16.71   77.11  |14 min 18 sec|
|  15   | 0.47 32.62 48.14 27.28 | 0.000001   0.303    0.132    0.052    0.105    0.592     90.43  | 75.36   16.71   77.11  |15 min 19 sec|
|  16   | 0.48 33.45 49.57 24.93 | 0.000001   0.297    0.126    0.048    0.105    0.576     90.59  | 75.36   16.71   77.11  |16 min 20 sec|
|  17   | 0.43 55.48 25.00 59.46 | 0.000001   0.301    0.116    0.045    0.104    0.567     90.52  | 75.36   16.71   77.11  |17 min 20 sec|
|  18   | 0.50 45.48 45.29 34.65 | 0.000001   0.294    0.114    0.042    0.104    0.554     90.65  | 75.36   16.71   77.11  |18 min 21 sec|
