
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-26 16:17:14] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.47 12.74 49.71 10.27 | 0.000001   0.352    0.000    0.000    0.143    0.495     90.80  | 12.74   49.71   10.27  | 0 min 54 sec|
|   2   | 0.45 57.02 36.79 45.98 | 0.000001   0.289    0.000    0.000    0.133    0.422     90.91  | 57.02   36.79   45.98  | 1 min 48 sec|
|   3   | 0.67 70.71 26.86 60.40 | 0.000002   0.257    0.000    0.000    0.121    0.378     90.86  | 70.71   26.86   60.40  | 2 min 43 sec|
|   4   | 1.07 36.55 33.14 56.98 | 0.000002   0.208    0.000    0.000    0.088    0.297     91.48  | 70.71   26.86   60.40  | 3 min 37 sec|
|   5   | 1.22 87.38 21.29 72.39 | 0.000002   0.175    0.000    0.000    0.074    0.249     92.37  | 87.38   21.29   72.39  | 4 min 32 sec|
|   6   | 1.33 41.90 17.36 77.95 | 0.000003   0.151    0.000    0.000    0.068    0.219     93.52  | 41.90   17.36   77.95  | 5 min 26 sec|
|   7   | 1.44 40.60 18.43 77.70 | 0.000003   0.133    0.000    0.000    0.065    0.198     94.31  | 41.90   17.36   77.95  | 6 min 21 sec|
|   8   | 1.45 42.02 35.93 49.75 | 0.000003   0.119    0.000    0.000    0.063    0.182     95.09  | 41.90   17.36   77.95  | 7 min 15 sec|
|   9   | 1.46 46.07 27.86 66.88 | 0.000004   0.106    0.000    0.000    0.062    0.169     95.53  | 41.90   17.36   77.95  | 8 min 10 sec|
|  10   | 1.44 46.90 26.86 72.95 | 0.000004   0.097    0.000    0.000    0.062    0.158     95.97  | 41.90   17.36   77.95  | 9 min 04 sec|
|  11   | 1.54 82.50 34.14 61.09 | 0.000004   0.086    0.000    0.000    0.061    0.147     96.47  | 41.90   17.36   77.95  | 9 min 59 sec|
|  12   | 1.43 46.90  9.79 88.32 | 0.000005   0.079    0.000    0.000    0.061    0.141     96.72  | 46.90    9.79   88.32  |10 min 53 sec|
|  13   | 1.48 46.79 15.86 82.08 | 0.000005   0.072    0.000    0.000    0.061    0.133     97.09  | 46.90    9.79   88.32  |11 min 48 sec|
|  14   | 1.41 44.29 33.57 56.30 | 0.000005   0.065    0.000    0.000    0.061    0.126     97.34  | 46.90    9.79   88.32  |12 min 42 sec|
|  15   | 1.40 76.67 34.07 55.15 | 0.000006   0.059    0.000    0.000    0.060    0.119     97.60  | 46.90    9.79   88.32  |13 min 37 sec|
|  16   | 1.37 48.81 16.71 81.11 | 0.000006   0.054    0.000    0.000    0.061    0.114     97.75  | 46.90    9.79   88.32  |14 min 31 sec|
