
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-26 18:30:39] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.53 47.02 46.86 38.41 | 0.000001   0.408    0.548    0.855    0.145    1.955     86.53  | 47.02   46.86   38.41  | 1 min 01 sec|
|   2   | 0.51 68.21 29.86 58.03 | 0.000001   0.389    0.408    0.560    0.132    1.489     88.17  | 68.21   29.86   58.03  | 2 min 02 sec|
|   3   | 0.51 49.29 43.64 35.27 | 0.000002   0.376    0.322    0.378    0.125    1.201     88.99  | 68.21   29.86   58.03  | 3 min 03 sec|
|   4   | 0.50 60.12 36.79 46.50 | 0.000002   0.362    0.260    0.258    0.123    1.002     89.68  | 68.21   29.86   58.03  | 4 min 04 sec|
|   5   | 0.46 69.29 21.36 69.58 | 0.000002   0.350    0.205    0.180    0.122    0.857     90.31  | 69.29   21.36   69.58  | 5 min 06 sec|
|   6   | 0.47 56.79 33.93 50.86 | 0.000003   0.336    0.168    0.131    0.121    0.756     90.70  | 69.29   21.36   69.58  | 6 min 07 sec|
|   7   | 0.45 52.62 38.21 56.30 | 0.000003   0.327    0.137    0.098    0.120    0.683     90.66  | 69.29   21.36   69.58  | 7 min 08 sec|
|   8   | 0.47 26.07 48.64 21.36 | 0.000003   0.319    0.115    0.078    0.119    0.631     90.74  | 69.29   21.36   69.58  | 8 min 09 sec|
|   9   | 0.45 49.52 34.86 54.68 | 0.000004   0.305    0.095    0.065    0.116    0.581     90.85  | 69.29   21.36   69.58  | 9 min 10 sec|
|  10   | 0.44 48.69 27.43 52.20 | 0.000004   0.279    0.085    0.053    0.114    0.531     90.76  | 69.29   21.36   69.58  |10 min 12 sec|
|  11   | 0.41 68.33 17.14 79.47 | 0.000004   0.254    0.074    0.049    0.109    0.486     90.91  | 68.33   17.14   79.47  |11 min 13 sec|
|  12   | 0.46 53.10 28.86 61.12 | 0.000005   0.227    0.065    0.042    0.103    0.437     91.12  | 68.33   17.14   79.47  |12 min 14 sec|
|  13   | 0.45 69.40 17.79 74.24 | 0.000005   0.209    0.059    0.038    0.098    0.404     91.75  | 68.33   17.14   79.47  |13 min 15 sec|
|  14   | 0.50 53.45 26.14 59.10 | 0.000005   0.188    0.053    0.036    0.093    0.370     92.40  | 68.33   17.14   79.47  |14 min 16 sec|
|  15   | 0.56 41.19 33.21 50.62 | 0.000006   0.175    0.049    0.031    0.090    0.346     92.73  | 68.33   17.14   79.47  |15 min 18 sec|
|  16   | 0.60 46.90 38.57 42.10 | 0.000006   0.161    0.046    0.030    0.086    0.323     93.42  | 68.33   17.14   79.47  |16 min 19 sec|
|  17   | 0.60 34.64 44.29 42.39 | 0.000006   0.146    0.041    0.029    0.083    0.300     93.91  | 68.33   17.14   79.47  |17 min 20 sec|
|  18   | 0.58 68.10 25.36 75.85 | 0.000007   0.133    0.039    0.027    0.080    0.279     94.52  | 68.33   17.14   79.47  |18 min 21 sec|
|  19   | 0.63 34.29 41.71 46.19 | 0.000007   0.123    0.037    0.026    0.078    0.263     94.88  | 68.33   17.14   79.47  |19 min 23 sec|
|  20   | 0.66 45.71 30.29 52.49 | 0.000007   0.116    0.034    0.024    0.076    0.250     95.10  | 68.33   17.14   79.47  |20 min 24 sec|
|  21   | 0.61 40.71 38.71 46.38 | 0.000008   0.102    0.031    0.023    0.073    0.230     95.57  | 68.33   17.14   79.47  |21 min 25 sec|
|  22   | 0.62 52.26 25.21 59.22 | 0.000008   0.097    0.031    0.023    0.071    0.223     95.88  | 68.33   17.14   79.47  |22 min 26 sec|
|  23   | 0.58 64.88 29.93 71.08 | 0.000008   0.091    0.028    0.023    0.069    0.211     96.18  | 68.33   17.14   79.47  |23 min 28 sec|
|  24   | 0.69 38.57 43.21 33.47 | 0.000009   0.084    0.028    0.021    0.068    0.201     96.44  | 68.33   17.14   79.47  |24 min 29 sec|
|  25   | 0.61 51.31 35.43 50.67 | 0.000009   0.081    0.027    0.020    0.067    0.195     96.45  | 68.33   17.14   79.47  |25 min 30 sec|
|  26   | 0.55 58.69 26.36 71.65 | 0.000009   0.074    0.023    0.019    0.066    0.181     96.97  | 68.33   17.14   79.47  |26 min 31 sec|
|  27   | 0.56 42.74 29.93 57.94 | 0.000010   0.072    0.023    0.018    0.065    0.178     97.00  | 68.33   17.14   79.47  |27 min 33 sec|
|  28   | 0.56 43.33 31.93 50.57 | 0.000010   0.066    0.023    0.017    0.064    0.170     97.08  | 68.33   17.14   79.47  |28 min 34 sec|
|  29   | 0.55 68.57 22.00 72.83 | 0.000010   0.063    0.021    0.017    0.063    0.165     97.33  | 68.33   17.14   79.47  |29 min 35 sec|
|  30   | 0.59 48.69 36.93 58.04 | 0.000011   0.060    0.020    0.016    0.063    0.158     97.47  | 68.33   17.14   79.47  |30 min 36 sec|
