
Starting training from epoch 1
------------------------------------------------------- [START 2025-11-09 18:16:44] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.91 22.14 38.86 23.39 | 0.000001   0.831    0.616    0.972    0.145    2.563     43.15  | 22.14   38.86   23.39  | 1 min 02 sec|
|   2   | 0.90 21.31 49.86  7.87 | 0.000001   0.785    0.464    0.683    0.136    2.068     48.58  | 22.14   38.86   23.39  | 2 min 02 sec|
|   3   | 0.89  6.90 49.93  3.59 | 0.000002   0.729    0.374    0.489    0.132    1.724     53.44  | 22.14   38.86   23.39  | 3 min 03 sec|
|   4   | 0.82 54.64 33.14 50.41 | 0.000002   0.625    0.305    0.334    0.129    1.394     65.17  | 54.64   33.14   50.41  | 4 min 06 sec|
|   5   | 0.69 24.17 42.29 27.21 | 0.000002   0.521    0.247    0.226    0.128    1.123     77.31  | 54.64   33.14   50.41  | 5 min 06 sec|
|   6   | 0.55 46.31 34.86 41.19 | 0.000003   0.424    0.196    0.158    0.127    0.904     85.58  | 54.64   33.14   50.41  | 6 min 07 sec|
|   7   | 0.46 68.57 22.71 68.76 | 0.000003   0.388    0.157    0.114    0.127    0.786     88.11  | 68.57   22.71   68.76  | 7 min 10 sec|
|   8   | 0.45 53.69 36.14 50.78 | 0.000003   0.363    0.135    0.084    0.126    0.708     89.11  | 68.57   22.71   68.76  | 8 min 11 sec|
|   9   | 0.40 76.43 14.50 81.68 | 0.000004   0.347    0.118    0.067    0.126    0.658     90.19  | 76.43   14.50   81.68  | 9 min 13 sec|
|  10   | 0.44 54.40 27.00 55.34 | 0.000004   0.339    0.100    0.058    0.125    0.622     90.48  | 76.43   14.50   81.68  |10 min 14 sec|
|  11   | 0.45 46.43 40.43 45.71 | 0.000004   0.331    0.086    0.050    0.125    0.592     90.18  | 76.43   14.50   81.68  |11 min 15 sec|
|  12   | 0.45 45.00 39.29 44.93 | 0.000005   0.317    0.078    0.043    0.125    0.563     90.58  | 76.43   14.50   81.68  |12 min 15 sec|
|  13   | 0.40 69.29 15.71 81.67 | 0.000005   0.305    0.066    0.041    0.125    0.537     90.53  | 76.43   14.50   81.68  |13 min 17 sec|
|  14   | 0.49 54.17 30.00 54.85 | 0.000005   0.298    0.060    0.036    0.124    0.518     90.64  | 76.43   14.50   81.68  |14 min 17 sec|
|  15   | 0.39 88.10  5.71 95.83 | 0.000006   0.265    0.054    0.035    0.122    0.476     90.87  | 88.10    5.71   95.83  |15 min 20 sec|
|  16   | 0.44 60.48 27.71 68.92 | 0.000006   0.240    0.051    0.034    0.120    0.445     90.91  | 88.10    5.71   95.83  |16 min 21 sec|
|  17   | 0.50 55.48 29.21 61.05 | 0.000006   0.206    0.045    0.032    0.115    0.399     91.82  | 88.10    5.71   95.83  |17 min 22 sec|
