
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-27 15:38:29] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.92 51.43 35.07 55.04 | 0.000001   0.753    0.590    0.944    0.143    2.429     54.61  | 51.43   35.07   55.04  | 1 min 01 sec|
|   2   | 0.87 85.00 10.64 90.06 | 0.000001   0.717    0.435    0.658    0.128    1.937     58.26  | 85.00   10.64   90.06  | 2 min 02 sec|
|   3   | 0.78 44.40 35.79 54.92 | 0.000002   0.596    0.350    0.459    0.119    1.524     67.96  | 85.00   10.64   90.06  | 3 min 03 sec|
|   4   | 0.67 32.02 40.43 42.49 | 0.000002   0.519    0.281    0.317    0.116    1.233     75.18  | 85.00   10.64   90.06  | 4 min 04 sec|
|   5   | 0.50 88.10  6.43 91.24 | 0.000002   0.448    0.233    0.221    0.113    1.015     81.89  | 88.10    6.43   91.24  | 5 min 05 sec|
|   6   | 0.47 52.86 27.50 63.64 | 0.000003   0.398    0.185    0.160    0.112    0.855     85.80  | 88.10    6.43   91.24  | 6 min 06 sec|
|   7   | 0.44 45.83 28.36 55.62 | 0.000003   0.364    0.155    0.119    0.111    0.749     88.81  | 88.10    6.43   91.24  | 7 min 08 sec|
|   8   | 0.46 32.14 38.64 37.80 | 0.000003   0.356    0.132    0.091    0.109    0.688     89.44  | 88.10    6.43   91.24  | 8 min 09 sec|
|   9   | 0.46 56.31 30.64 57.09 | 0.000004   0.340    0.111    0.073    0.109    0.633     90.21  | 88.10    6.43   91.24  | 9 min 10 sec|
|  10   | 0.47 28.45 43.00 28.01 | 0.000004   0.327    0.096    0.063    0.107    0.593     90.47  | 88.10    6.43   91.24  |10 min 11 sec|
|  11   | 0.46 44.64 35.64 53.52 | 0.000004   0.313    0.086    0.055    0.106    0.560     90.42  | 88.10    6.43   91.24  |11 min 12 sec|
|  12   | 0.42 90.71  7.50 92.09 | 0.000005   0.295    0.075    0.048    0.105    0.522     90.66  | 88.10    6.43   91.24  |12 min 13 sec|
