
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-26 16:57:38] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.53 43.33 32.36 62.85 | 0.000001   0.345    0.000    0.000    0.131    0.476     89.53  | 43.33   32.36   62.85  | 0 min 55 sec|
|   2   | 0.70 41.19 34.71 56.43 | 0.000001   0.290    0.000    0.000    0.111    0.401     90.89  | 43.33   32.36   62.85  | 1 min 51 sec|
|   3   | 1.32 42.86 33.93 54.48 | 0.000002   0.258    0.000    0.000    0.100    0.358     90.92  | 43.33   32.36   62.85  | 2 min 46 sec|
|   4   | 1.93 40.95 34.79 43.38 | 0.000002   0.227    0.000    0.000    0.088    0.314     91.35  | 43.33   32.36   62.85  | 3 min 42 sec|
|   5   | 1.91 46.07 30.50 65.76 | 0.000002   0.201    0.000    0.000    0.079    0.280     92.16  | 46.07   30.50   65.76  | 4 min 38 sec|
|   6   | 1.86 43.69 34.71 55.35 | 0.000003   0.178    0.000    0.000    0.074    0.252     92.92  | 46.07   30.50   65.76  | 5 min 34 sec|
|   7   | 1.98 42.26 34.86 52.89 | 0.000003   0.155    0.000    0.000    0.069    0.224     93.64  | 46.07   30.50   65.76  | 6 min 29 sec|
|   8   | 1.80 38.93 36.07 40.87 | 0.000003   0.137    0.000    0.000    0.066    0.204     94.33  | 46.07   30.50   65.76  | 7 min 25 sec|
|   9   | 1.38 59.52 19.71 73.55 | 0.000004   0.121    0.000    0.000    0.064    0.185     94.85  | 59.52   19.71   73.55  | 8 min 21 sec|
|  10   | 1.25 37.86 35.50 54.63 | 0.000004   0.108    0.000    0.000    0.063    0.170     95.37  | 59.52   19.71   73.55  | 9 min 16 sec|
|  11   | 1.08 50.71 28.14 66.98 | 0.000004   0.098    0.000    0.000    0.062    0.160     95.80  | 59.52   19.71   73.55  |10 min 12 sec|
|  12   | 1.18 41.31 36.64 53.84 | 0.000005   0.087    0.000    0.000    0.062    0.149     96.32  | 59.52   19.71   73.55  |11 min 08 sec|
|  13   | 1.55 44.52 36.43 45.24 | 0.000005   0.079    0.000    0.000    0.061    0.141     96.64  | 59.52   19.71   73.55  |12 min 03 sec|
|  14   | 1.60 43.21 36.00 55.30 | 0.000005   0.072    0.000    0.000    0.061    0.133     97.02  | 59.52   19.71   73.55  |12 min 59 sec|
|  15   | 1.96 40.71 35.71 37.41 | 0.000006   0.066    0.000    0.000    0.061    0.127     97.34  | 59.52   19.71   73.55  |13 min 55 sec|
|  16   | 2.24 36.31 36.50 48.31 | 0.000006   0.061    0.000    0.000    0.061    0.122     97.51  | 59.52   19.71   73.55  |14 min 51 sec|
|  17   | 2.32 42.14 30.86 59.57 | 0.000006   0.055    0.000    0.000    0.061    0.116     97.81  | 59.52   19.71   73.55  |15 min 46 sec|
|  18   | 2.69 32.38 37.57 46.11 | 0.000007   0.050    0.000    0.000    0.060    0.111     98.08  | 59.52   19.71   73.55  |16 min 42 sec|
|  19   | 2.49 36.79 37.93 47.47 | 0.000007   0.046    0.000    0.000    0.060    0.106     98.13  | 59.52   19.71   73.55  |17 min 38 sec|
|  20   | 2.87 43.57 36.57 53.37 | 0.000007   0.043    0.000    0.000    0.060    0.103     98.31  | 59.52   19.71   73.55  |18 min 34 sec|
|  21   | 3.32 45.71 29.43 61.53 | 0.000008   0.039    0.000    0.000    0.059    0.098     98.40  | 59.52   19.71   73.55  |19 min 30 sec|
|  22   | 3.44 43.10 36.29 49.86 | 0.000008   0.037    0.000    0.000    0.059    0.096     98.51  | 59.52   19.71   73.55  |20 min 25 sec|
|  23   | 3.41 44.17 35.64 54.77 | 0.000008   0.035    0.000    0.000    0.058    0.093     98.61  | 59.52   19.71   73.55  |21 min 21 sec|
|  24   | 3.51 44.52 33.21 60.08 | 0.000009   0.032    0.000    0.000    0.058    0.090     98.69  | 59.52   19.71   73.55  |22 min 17 sec|
|  25   | 4.12 40.60 40.93 46.95 | 0.000009   0.030    0.000    0.000    0.058    0.087     98.90  | 59.52   19.71   73.55  |23 min 13 sec|
|  26   | 4.76 43.45 29.71 61.30 | 0.000009   0.028    0.000    0.000    0.058    0.086     98.89  | 59.52   19.71   73.55  |24 min 08 sec|
|  27   | 4.15 38.45 37.29 48.39 | 0.000010   0.027    0.000    0.000    0.057    0.084     98.97  | 59.52   19.71   73.55  |25 min 04 sec|
|  28   | 4.61 46.55 28.93 65.63 | 0.000010   0.025    0.000    0.000    0.057    0.082     99.14  | 59.52   19.71   73.55  |26 min 00 sec|
|  29   | 4.98 35.24 35.64 48.86 | 0.000010   0.024    0.000    0.000    0.057    0.081     99.15  | 59.52   19.71   73.55  |26 min 56 sec|
|  30   | 5.57 48.10 39.50 49.98 | 0.000011   0.021    0.000    0.000    0.057    0.078     99.23  | 59.52   19.71   73.55  |27 min 51 sec|
