
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-27 14:21:51] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.42 66.90 19.14 77.83 | 0.000001   0.560    0.759    0.801    0.144    2.264     73.52  | 66.90   19.14   77.83  | 1 min 01 sec|
|   2   | 0.44 43.33 37.21 49.34 | 0.000001   0.472    0.459    0.481    0.127    1.539     81.62  | 66.90   19.14   77.83  | 2 min 02 sec|
|   3   | 0.42 75.95 14.07 84.80 | 0.000002   0.427    0.367    0.330    0.118    1.242     85.33  | 75.95   14.07   84.80  | 3 min 03 sec|
|   4   | 0.46 52.02 25.57 66.43 | 0.000002   0.380    0.291    0.235    0.116    1.021     88.43  | 75.95   14.07   84.80  | 4 min 04 sec|
|   5   | 0.49 31.31 35.50 44.45 | 0.000002   0.341    0.233    0.175    0.115    0.865     89.98  | 75.95   14.07   84.80  | 5 min 05 sec|
|   6   | 0.47 69.17 16.57 75.56 | 0.000003   0.333    0.190    0.134    0.115    0.772     90.25  | 75.95   14.07   84.80  | 6 min 07 sec|
|   7   | 0.50 75.24 14.86 79.15 | 0.000003   0.321    0.159    0.105    0.114    0.700     90.54  | 75.95   14.07   84.80  | 7 min 08 sec|
|   8   | 0.56 23.69 44.29 20.58 | 0.000003   0.312    0.133    0.083    0.114    0.642     90.65  | 75.95   14.07   84.80  | 8 min 09 sec|
|   9   | 0.53 89.29  7.00 92.90 | 0.000004   0.306    0.114    0.070    0.113    0.603     90.65  | 89.29    7.00   92.90  | 9 min 10 sec|
|  10   | 0.57 67.98 31.43 60.89 | 0.000004   0.295    0.097    0.058    0.112    0.562     90.83  | 89.29    7.00   92.90  |10 min 11 sec|
|  11   | 0.64 46.79 38.29 50.28 | 0.000004   0.285    0.089    0.050    0.112    0.535     90.62  | 89.29    7.00   92.90  |11 min 13 sec|
|  12   | 0.70 66.79 20.21 68.43 | 0.000005   0.271    0.077    0.044    0.111    0.503     90.83  | 89.29    7.00   92.90  |12 min 14 sec|
|  13   | 0.86 75.95 24.14 68.29 | 0.000005   0.252    0.066    0.039    0.108    0.466     90.77  | 89.29    7.00   92.90  |13 min 15 sec|
|  14   | 0.88 92.02  8.43 89.18 | 0.000005   0.228    0.061    0.038    0.106    0.433     91.17  | 89.29    7.00   92.90  |14 min 16 sec|
|  15   | 0.88 60.48 34.50 56.49 | 0.000006   0.201    0.055    0.036    0.102    0.394     91.75  | 89.29    7.00   92.90  |15 min 17 sec|
|  16   | 0.70 61.43 28.93 65.50 | 0.000006   0.177    0.050    0.031    0.098    0.356     92.75  | 89.29    7.00   92.90  |16 min 19 sec|
|  17   | 0.69 86.90 11.29 86.49 | 0.000006   0.152    0.046    0.030    0.093    0.320     93.37  | 89.29    7.00   92.90  |17 min 20 sec|
|  18   | 0.71 66.43 22.64 69.38 | 0.000007   0.128    0.044    0.029    0.089    0.290     94.64  | 89.29    7.00   92.90  |18 min 21 sec|
|  19   | 0.69 88.10 11.50 87.16 | 0.000007   0.113    0.040    0.026    0.084    0.263     95.27  | 89.29    7.00   92.90  |19 min 22 sec|
|  20   | 0.84 42.62 39.93 48.83 | 0.000007   0.100    0.036    0.025    0.080    0.242     95.85  | 89.29    7.00   92.90  |20 min 23 sec|
|  21   | 0.86 46.07 41.79 48.34 | 0.000008   0.089    0.033    0.025    0.076    0.223     96.30  | 89.29    7.00   92.90  |21 min 25 sec|
