
Starting training from epoch 1
------------------------------------------------------- [START 2026-01-27 15:25:46] -------------------------------------------------------

                                                       ** Starting UniBiFAS Model Training! **                                                       
| epoch |-------- VALID ---------|----------------------------- Train -----------------------------|----- Current Best -----|    time     |
|       | loss top-1  HTER  AUC  |    lr      L_bin    L_atk    L_art    L_seg   L_total    top-1  | top-1    HTER    AUC   |             |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|   1   | 0.44 54.88 38.79 52.36 | 0.000001   0.645    0.698    1.120    0.144    2.607     62.26  | 54.88   38.79   52.36  | 1 min 01 sec|
|   2   | 0.40 91.43  8.43 95.32 | 0.000001   0.614    0.510    0.641    0.136    1.902     66.28  | 91.43    8.43   95.32  | 2 min 02 sec|
|   3   | 0.43 33.45 38.57 34.12 | 0.000002   0.585    0.429    0.451    0.131    1.597     69.72  | 91.43    8.43   95.32  | 3 min 03 sec|
|   4   | 0.44 37.86 40.00 47.23 | 0.000002   0.548    0.364    0.326    0.129    1.368     74.52  | 91.43    8.43   95.32  | 4 min 04 sec|
|   5   | 0.47 31.07 37.71 34.47 | 0.000002   0.498    0.299    0.247    0.128    1.172     80.25  | 91.43    8.43   95.32  | 5 min 05 sec|
|   6   | 0.41 71.79 17.36 84.44 | 0.000003   0.446    0.250    0.187    0.127    1.010     84.46  | 91.43    8.43   95.32  | 6 min 06 sec|
|   7   | 0.47 42.38 35.43 54.38 | 0.000003   0.404    0.202    0.146    0.127    0.878     87.45  | 91.43    8.43   95.32  | 7 min 08 sec|
|   8   | 0.49 76.19 14.07 76.44 | 0.000003   0.355    0.171    0.116    0.125    0.767     89.93  | 91.43    8.43   95.32  | 8 min 09 sec|
|   9   | 0.53 68.45 17.57 80.40 | 0.000004   0.346    0.147    0.093    0.125    0.711     90.08  | 91.43    8.43   95.32  | 9 min 10 sec|
|  10   | 0.51 77.14 12.43 79.08 | 0.000004   0.326    0.127    0.078    0.125    0.655     90.64  | 91.43    8.43   95.32  |10 min 11 sec|
|  11   | 0.56 64.52 20.36 70.26 | 0.000004   0.320    0.107    0.068    0.124    0.620     90.75  | 91.43    8.43   95.32  |11 min 12 sec|
|  12   | 0.61 31.43 38.14 37.48 | 0.000005   0.315    0.094    0.057    0.125    0.591     90.77  | 91.43    8.43   95.32  |12 min 14 sec|
